City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
300,Iqaluit,CA,63.7506,-68.5145,-22.27,69,0,32.21,clear sky
301,Varca,IN,15.2167,73.9167,69.8,52,0,6.91,clear sky
302,Tautira,PF,-17.7333,-149.15,80.46,78,92,14.29,light rain
303,Cao Bang,VN,22.6667,106.25,66.38,56,0,0.43,clear sky
304,Caraballeda,VE,10.6112,-66.8522,76.32,93,69,8.52,broken clouds
305,Vostok,RU,46.4856,135.8833,9.03,89,100,3.62,light snow
306,Srednekolymsk,RU,67.45,153.6833,-42.32,96,36,5.84,scattered clouds
307,Taltal,CL,-25.4,-70.4833,68.74,74,3,2.71,clear sky
308,Balve,DE,51.3333,7.8667,45.0,95,100,10.47,moderate rain
309,Qujing,CN,25.4833,103.7833,47.14,61,0,2.59,clear sky
310,Huntley,US,42.1681,-88.4281,26.64,93,55,3.0,broken clouds
311,Ulladulla,AU,-35.35,150.4667,72.86,50,0,7.58,clear sky
312,Kongolo,CD,-5.3833,27.0,67.53,99,100,2.55,moderate rain
313,Springfield,US,37.2153,-93.2982,39.18,81,0,3.44,clear sky
314,Waipawa,NZ,-41.4122,175.5153,63.18,64,33,10.63,scattered clouds
315,Amuntai,ID,-2.4177,115.2494,75.94,94,100,0.94,light rain
316,Tonantins,BR,-2.8731,-67.8022,72.36,99,100,1.72,overcast clouds
317,Lubango,AO,-14.9172,13.4925,58.19,87,100,3.69,overcast clouds
318,Olden,NO,61.8364,6.8064,43.54,89,100,9.01,overcast clouds
319,Itacoatiara,BR,-3.1431,-58.4442,75.38,88,86,2.17,overcast clouds
320,Burley,US,42.5357,-113.7928,36.3,93,75,5.75,broken clouds
321,Mahina,PF,-17.5065,-149.489,85.77,66,75,11.5,light rain
322,Murmansk,RU,68.0,34.0,4.33,90,100,6.24,overcast clouds
323,Grindavik,IS,63.8424,-22.4338,30.67,86,75,39.12,broken clouds
324,Samfya,ZM,-11.3649,29.5565,63.79,97,100,4.34,moderate rain
325,Manresa,ES,41.725,1.8266,59.56,94,42,2.59,scattered clouds
326,Jasper,US,37.2001,-94.3502,37.87,65,0,0.0,clear sky
327,Omsukchan,RU,62.5333,155.8,-38.27,97,34,3.38,scattered clouds
328,Longyearbyen,SJ,78.2186,15.6401,9.25,98,100,4.92,overcast clouds
329,Carauari,BR,-4.8828,-66.8958,70.47,99,100,2.3,light rain
330,Flinders,AU,-34.5833,150.8552,80.19,63,0,7.0,clear sky
331,Misratah,LY,32.3754,15.0925,58.6,60,0,13.15,clear sky
332,Suntar,RU,62.1444,117.6319,-52.11,99,32,1.88,scattered clouds
333,Karratha,AU,-20.7377,116.8463,91.71,34,65,1.57,broken clouds
334,Cabra,ES,37.4725,-4.4421,55.11,98,100,11.32,overcast clouds
335,Yumen,CN,40.2833,97.2,24.64,31,0,7.92,clear sky
336,Northam,GB,51.0333,-4.2167,46.62,87,68,24.61,broken clouds
337,Turukhansk,RU,65.8167,87.9833,-30.32,90,62,7.29,broken clouds
338,Natal,BR,-5.795,-35.2094,77.65,83,20,5.75,few clouds
339,Nago,JP,26.5881,127.9761,68.45,60,41,6.89,scattered clouds
340,Port Macquarie,AU,-31.4333,152.9167,78.89,53,0,10.51,clear sky
341,Amahai,ID,-3.3333,128.9167,77.5,88,100,3.67,light rain
342,Saldanha,ZA,-33.0117,17.9442,59.05,95,5,5.88,clear sky
343,Sawtell,AU,-30.3833,153.1,82.18,53,0,13.8,clear sky
344,Bechem,GH,7.0903,-2.025,67.75,54,10,2.3,clear sky
345,Ust-Kuyga,RU,70.0167,135.6,-38.49,98,100,5.28,overcast clouds
346,Weligama,LK,5.9667,80.4167,76.15,86,27,1.21,scattered clouds
347,Rio Gallegos,AR,-51.6226,-69.2181,77.05,27,0,13.8,clear sky
348,Chara,RU,56.9064,118.2631,-1.12,86,100,2.15,overcast clouds
